r13^t,r14^t,r23^t,r24^t,r24^t+1,
0.0,0.0,0.0,0.0,0.0,0.9987437185929647
0.0,0.0,0.0,0.0,1.0,0.0012562814070351757
0.0,0.0,0.0,1.0,0.0,0.7380952380952381
0.0,0.0,0.0,1.0,1.0,0.2619047619047619
0.0,0.0,1.0,0.0,0.0,0.9666666666666667
0.0,0.0,1.0,0.0,1.0,0.03333333333333333
0.0,0.0,1.0,1.0,0.0,0.25
0.0,0.0,1.0,1.0,1.0,0.75
0.0,1.0,0.0,0.0,0.0,0.9770992366412214
0.0,1.0,0.0,0.0,1.0,0.022900763358778626
0.0,1.0,0.0,1.0,0.0,0.3414634146341463
0.0,1.0,0.0,1.0,1.0,0.6585365853658537
0.0,1.0,1.0,0.0,0.0,0.868421052631579
0.0,1.0,1.0,0.0,1.0,0.13157894736842105
0.0,1.0,1.0,1.0,0.0,0.6666666666666666
0.0,1.0,1.0,1.0,1.0,0.3333333333333333
1.0,0.0,0.0,0.0,0.0,0.9393939393939393
1.0,0.0,0.0,0.0,1.0,0.06060606060606061
1.0,0.0,0.0,1.0,0.0,0.75
1.0,0.0,0.0,1.0,1.0,0.25
1.0,0.0,1.0,0.0,0.0,0.9508196721311475
1.0,0.0,1.0,0.0,1.0,0.04918032786885245
1.0,0.0,1.0,1.0,0.0,0.2857142857142857
1.0,0.0,1.0,1.0,1.0,0.7142857142857143
1.0,1.0,0.0,0.0,0.0,0.896551724137931
1.0,1.0,0.0,0.0,1.0,0.10344827586206896
1.0,1.0,0.0,1.0,0.0,0.5555555555555556
1.0,1.0,0.0,1.0,1.0,0.4444444444444444
1.0,1.0,1.0,0.0,0.0,0.7647058823529412
1.0,1.0,1.0,0.0,1.0,0.23529411764705882
1.0,1.0,1.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0,0.5
