r17^t,r18^t,r19^t,r20^t,r21^t,c3a^t,c3b^t,o1^t,c3b^t+1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9512195121951219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04878048780487805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7961165048543689
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2038834951456311
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.27906976744186046
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7209302325581396
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.380952380952381
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6190476190476191
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8076923076923078
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19230769230769232
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8666666666666667
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.13333333333333336
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5
