r26^t,r27^t,r32^t,r27^t+1,
0.0,0.0,0.0,0.0,0.9938176197836167
0.0,0.0,0.0,1.0,0.0061823802163833074
0.0,0.0,1.0,0.0,0.8478260869565217
0.0,0.0,1.0,1.0,0.15217391304347827
0.0,1.0,0.0,0.0,0.11868131868131868
0.0,1.0,0.0,1.0,0.8813186813186813
0.0,1.0,1.0,0.0,0.075
0.0,1.0,1.0,1.0,0.9249999999999999
1.0,0.0,0.0,0.0,0.8208092485549132
1.0,0.0,0.0,1.0,0.1791907514450867
1.0,0.0,1.0,0.0,0.7380952380952381
1.0,0.0,1.0,1.0,0.2619047619047619
1.0,1.0,0.0,0.0,0.10416666666666667
1.0,1.0,0.0,1.0,0.8958333333333334
1.0,1.0,1.0,0.0,0.16666666666666666
1.0,1.0,1.0,1.0,0.8333333333333334
