r28^t,r29^t,r35^t,c2^t,c4^t,o1^t,c4^t+1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908256880733944
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009174311926605505
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.019672131147540982
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.980327868852459
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.00267379679144385
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9973262032085561
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7894736842105263
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21052631578947367
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8125
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1875
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007490636704119849
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9925093632958801
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.009615384615384616
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9903846153846153
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.016260162601626018
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.983739837398374
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.014705882352941178
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9852941176470589
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.39999999999999997
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.19999999999999998
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7999999999999999
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.006944444444444444
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9930555555555555
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.028169014084507043
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9718309859154929
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06060606060606061
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.9393939393939393
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.07142857142857142
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714285
