r3^t,r7^t,c1^t,r7^t+1,
0.0,0.0,0.0,0.0,0.9923664122137404
0.0,0.0,0.0,1.0,0.007633587786259542
0.0,0.0,1.0,0.0,0.8828828828828829
0.0,0.0,1.0,1.0,0.11711711711711711
0.0,1.0,0.0,0.0,0.01550387596899225
0.0,1.0,0.0,1.0,0.9844961240310078
0.0,1.0,1.0,0.0,0.02542372881355932
0.0,1.0,1.0,1.0,0.9745762711864407
1.0,0.0,0.0,0.0,0.918918918918919
1.0,0.0,0.0,1.0,0.08108108108108109
1.0,0.0,1.0,0.0,0.8308457711442786
1.0,0.0,1.0,1.0,0.16915422885572137
1.0,1.0,0.0,0.0,0.050955414012738856
1.0,1.0,0.0,1.0,0.9490445859872612
1.0,1.0,1.0,0.0,0.03864734299516908
1.0,1.0,1.0,1.0,0.9613526570048309
