r5^t,r6^t,c3a^t,r6^t+1,
0.0,0.0,0.0,0.0,0.9989969909729188
0.0,0.0,0.0,1.0,0.0010030090270812437
0.0,0.0,1.0,0.0,0.9891451831750339
0.0,0.0,1.0,1.0,0.01085481682496608
0.0,1.0,0.0,0.0,0.04232804232804233
0.0,1.0,0.0,1.0,0.9576719576719577
0.0,1.0,1.0,0.0,0.04545454545454546
0.0,1.0,1.0,1.0,0.9545454545454546
1.0,0.0,0.0,0.0,0.9768786127167631
1.0,0.0,0.0,1.0,0.023121387283236997
1.0,0.0,1.0,0.0,0.9603174603174602
1.0,0.0,1.0,1.0,0.03968253968253968
1.0,1.0,0.0,0.0,0.05555555555555555
1.0,1.0,0.0,1.0,0.9444444444444444
1.0,1.0,1.0,0.0,0.0909090909090909
1.0,1.0,1.0,1.0,0.9090909090909091
