r5^t,r6^t,r10^t,r11^t,r15^t,r16^t,c3a^t,c3b^t,c3a^t+1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9572649572649572
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04273504273504273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07317073170731707
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.926829268292683
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.85
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7222222222222222
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2777777777777778
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2857142857142857
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7142857142857142
