r7^t,r25^t,c1^t,c2^t,c1^t+1,
0.0,0.0,0.0,0.0,0.0,0.9856115107913669
0.0,0.0,0.0,0.0,1.0,0.014388489208633093
0.0,0.0,0.0,1.0,0.0,0.9571428571428572
0.0,0.0,0.0,1.0,1.0,0.04285714285714286
0.0,0.0,1.0,0.0,0.0,0.10169491525423728
0.0,0.0,1.0,0.0,1.0,0.8983050847457626
0.0,0.0,1.0,1.0,0.0,0.043795620437956206
0.0,0.0,1.0,1.0,1.0,0.9562043795620437
0.0,1.0,0.0,0.0,0.0,0.7777777777777778
0.0,1.0,0.0,0.0,1.0,0.2222222222222222
0.0,1.0,0.0,1.0,0.0,0.631578947368421
0.0,1.0,0.0,1.0,1.0,0.3684210526315789
0.0,1.0,1.0,0.0,0.0,0.07894736842105263
0.0,1.0,1.0,0.0,1.0,0.9210526315789473
0.0,1.0,1.0,1.0,0.0,0.048780487804878044
0.0,1.0,1.0,1.0,1.0,0.951219512195122
1.0,0.0,0.0,0.0,0.0,0.9230769230769231
1.0,0.0,0.0,0.0,1.0,0.07692307692307693
1.0,0.0,0.0,1.0,0.0,0.794392523364486
1.0,0.0,0.0,1.0,1.0,0.205607476635514
1.0,0.0,1.0,0.0,0.0,0.04524886877828054
1.0,0.0,1.0,0.0,1.0,0.9547511312217194
1.0,0.0,1.0,1.0,0.0,0.043912175648702596
1.0,0.0,1.0,1.0,1.0,0.9560878243512974
1.0,1.0,0.0,0.0,0.0,0.8952380952380952
1.0,1.0,0.0,0.0,1.0,0.10476190476190475
1.0,1.0,0.0,1.0,0.0,0.7572815533980582
1.0,1.0,0.0,1.0,1.0,0.24271844660194175
1.0,1.0,1.0,0.0,0.0,0.0689655172413793
1.0,1.0,1.0,0.0,1.0,0.9310344827586207
1.0,1.0,1.0,1.0,0.0,0.02694610778443114
1.0,1.0,1.0,1.0,1.0,0.9730538922155689
